Chinese Acupressure Massage $60(((north Alabaster)))227 1st North,https://bham.craigslist.org/thp/d/chinese-acupressure-massage/6418722589.html,"google,map","227 1st street at 227 1st street  IG Steam Bath Best Atmosphere For RelaxationRelaxing Soothing Professional BodyWorkOriental Massage & AcupressureShiatsu, Deep Tissue, Swedish & Table ShowerSteam, Jacuzzi$60 With One Hour Massage227 1st street north Alabaster suite B AL 35007 show contact info",2017-12-09 10:09:31,33.245970,-86.816003,1 St street,2017-12-11 09:20:18.835750,CL1
Panda Acupressure $60 Homewood(490 N Wildwood Circle Homewood),https://bham.craigslist.org/thp/d/panda-acupressure-60/6419834176.html,"google,map","PANDA Acupressure Massage $60/hr $80/90min(((Homewood AL) ) )))490 N wildwood circle ste 120 *Deep Tissue / Shiatsu / Swedish Massage *Therapeutic massage to reduce stress, increase blood circulation, *and heal muscle and joint pain. * Deep tissue ** Swedish & shiatsu massage ** Hot oil & hot towel treatment *   show contact info * open 7 days per week * 10:00 am / 10:00pm490 N wildwood circle ste 120 homewood AL 35209 do NOT contact me with unsolicited services or offersit's ok to contact this poster with services or other commercial interests    ",2017-12-10 09:02:11,33.446568,-86.831217,Wildwood Circle,2017-12-11 09:20:19.605866,CL1
MALE  MASSAGE M4M  BY MAV,https://atlanta.craigslist.org/atl/thp/d/male-massage-m4m-by-mav/6420927391.html,Decatur,"Hello GUYSMy name is MAV , Latin massage therapist , I am certified My massage include a mix of techniques (ask) , I have my own private studio , shower available Private parking Reasonable RatesFeel free to text me  show contact info",2017-12-11 08:49:34,33.810318,-84.290884,"3431 North Druid Hills rd, Apt Q",2017-12-11 09:20:20.376747,CL1
CERTIFIED MASSAGE THERAPIST FOR MEN,https://atlanta.craigslist.org/atl/thp/d/certified-massage-therapist/6420926495.html,"EMORY,AREA","Hello Guys My name is MAC , I am a Certified Massage Therapist with 25 years of experience and now it's time to Put yourself in the firm, nurturing hands of a mature, masculine man. Let me melt away the tensions of every day existence through masculine touch. My innovative bodywork leaves you fulfilled, relaxed and ready to return to your world. I'm a mature and friendly professional masseur who proudly serves straight, bi and gay men of all ages, shapes and experienceI will take my time to find all your spots and custom tailor the session to your liking. I am very intuitive, and you will be very happy with your experience. ALLOW ME TO SPOIL YOU !!CALL, TEXT OR EMAIL ME TO BOOK YOUR APPOINTMENTSHOWER AVAILABLE**** 60 dollars x 60 minutes **** MAC  show contact info",2017-12-11 08:48:34,33.810318,-84.290884,"3431 North Druid Hills rd,",2017-12-11 09:20:21.054836,CL1
ðŸ¦‹ðŸŒˆðŸ•ŠðŸŒ¿SOOTHING RELAXING BODYWORK ðŸ•Š custom,https://atlanta.craigslist.org/sat/thp/d/soothing-relaxing-bodywork/6420925720.html,Riverdale,"Welcome to my loving, healing Sanctuary... Receive the attention and touch you long for. Feel enveloped by warm love and Pleasure... Magic happens when we listen to and trust our bodies' wisdom, and get out of our thinking heads. Are you ready for a Beautiful, Restorative, Healing journey? Are you ready to feel your body in ways you have not felt it before? I will take you where you need to go... away from the draining stresses of life and work and into a timeless, heart-filled bliss! This work goes deep... I am a Seductive Reiki Master who has mastered the art of intuitive tantric healing. *Respect and integrity are crucial values in my work. Thank you for your respect and Intentionality when you come in for sessions!* * show contact info*. $120/hour.For Women and men. Blessings! I AM NOT AN ESCORT. Zenful Tantric Reiki    ",2017-12-11 08:47:45,33.553100,-84.400300,,2017-12-11 09:20:21.851610,CL1
"Relax, Unwind & Lose Track of Time",https://atlanta.craigslist.org/atl/thp/d/relax-unwind-lose-track-of/6420915831.html,Decatur,"Hi, I'm Adara Moselle. I am a professional masseuse & energy worker conveniently located in Decatur. Come enjoy a cozy private space, a sincere and thoughtful masseuse, skilled hands and great personality. Awesome service is always guaranteed.Services offered include:Massage - Sweddish, Thai, Lomi Lomi, Deep Tissue, Tantra, Couples & PartiesEnergetics - Pranic Healing, Reiki, Tantric Bodywork, Chakra & Aura CleaningFor more info visit us at www.electrictouch.xyz    ",2017-12-11 08:36:14,,,,2017-12-11 09:20:22.533361,CL1
❤GRAND OPENING❤amazing massage$10 off 10AM-1PM,https://atlanta.craigslist.org/atl/thp/d/grand-openingamazing/6420904821.html,"Lawrenceville,Suwanee,lilburn,Buford","Welcome to MAY Massage3255 lawrenceville suwanee rd suwanee ga 30024  show contact info  Try our professional and friendly new staff!!!~We pride ourselves in offering a quiet, soothing atmosphere. Located in an excellent area we offer several different massages, including:SwedishDeep Tissue Body massage Couple massage Beautiful & Sweet Asian Staff Are Ready To Give You BEST ServiceWALK-INS WELCOME! ",2017-12-11 08:22:56,34.036279,-84.052431,3255 lawrenceville suwanee rd ste k,2017-12-11 09:20:23.309796,CL1
,https://atlanta.craigslist.org/sat/thp/d/leslie-professional/6420888789.html,, , ,,,,2017-12-11 09:20:24.076637,CL1
Professional office. Come Relax,https://atlanta.craigslist.org/atl/thp/d/professional-office-come-relax/6420885592.html,Norcross,"Come & Enjoy a Relaxing Session with yours Truly.1hr $80If you are looking for a Professional place & relaxing time this is the right place! I offer many customized sessions for your individual needs that will relieve your pains and relax your body and mind. Warm TowelsClean LinensUncented OilShower Available Open 5 days a week Mon-Friday 9:30am --5:00pm Please Text  show contact info To get a Faster reply. Located in Norcross, off Holcomb bridge and peachtree corners .",2017-12-11 07:55:41,33.938100,-84.197200,Holcomb bridge at Atlantic blvd,2017-12-11 09:20:24.745708,CL1
Massage,https://atlanta.craigslist.org/nat/thp/d/massage/6420883587.html,"google,map","clean roomspretty friendly asian and latin staffopen 7 days a week 10:00 am to 8:30 pmLocated 2131 Pleasant Hill Road Suite 145 Duluth, Ga 30096 (behind apple bees and burger king)Exit 104Phone:  show contact info    do NOT contact me with unsolicited services or offers",2017-12-11 07:52:21,33.984500,-84.152900,,2017-12-11 09:20:25.433320,CL1
ðŸ’– Amazing Hands Massage Studio ðŸ’–,https://atlanta.craigslist.org/sat/thp/d/amazing-hands-massage-studio/6420861677.html,Fayetteville,"Catering to the elite clientele that likes to indulge the mind, body and soul with a one of a kind, customized, made just for you body work.  show contact info to schedule with Kissy Treat Yourself The perfect ambiance for the perfect body work.Cozy, clean, and comfortable Fayetteville/Riverdale location. ",2017-12-11 07:11:05,33.463757,-84.452033,,2017-12-11 09:20:26.207952,CL1
ZenSational (Duluth\Johns Creek),https://atlanta.craigslist.org/nat/thp/d/zensational-duluthjohns-creek/6420860247.html,"Medlock,Bridge,Rd"," Beautiful & Friendly Asian Staff VISIT TODAY Or CALL FOR APPOINTMENT Absolutely Best Deal In Town & Staff !!!  Asian Oriental Deep Tissue Swedish Shiatsu Relaxation  Table Shower & Sauna Also Available  GIVE US A CALL  Open = 7 days $60 for an hourDeep Tissue MassageSwedish Massage4 Hands Massage (by appointment)Foot massage~Special: ^^Free table shower ^^Free hotstone ^^Free Sauna ~Come and Enjoy a therapeutic Chinese Massage~ Zen Massage~ 10450 Medlock Bridge Rd Suite 107 Johns Creek, GA 30097~ Please Call for appointments at  show contact info or Text to schedule your appointment at  show contact info.~Business hours: 10.00AM- 9PM. Last appointment at 8:30pm.10450 Medlock Bridge Rd, 30097    ",2017-12-11 07:07:52,34.026000,-84.147000,10450 Medlock Bridge Rd,2017-12-11 09:20:27.106772,CL1
ARE YOU LOOKING FOR A VERY NICE AND SPECIAL MASSAGE,https://atlanta.craigslist.org/atl/thp/d/are-you-looking-for-very-nice/6420853880.html,,"MASSAGE WITH A GREAT TOUCH! INCALLS (gainesville)SE HABLA ESPANOL  show contact infoSEVEN 7 CERO. SEVEN 4 FOUR. 1 ONE 6 NINEGreat with hands! Private location includes table, sheets, lotions/oils and shower for your comfort.I have a location in OAKWOOD,( shower available if you need it)SHOWERS & BEVERAGES AVAILABLE IN A CLEAN AND SAFE ENVIRONMENT.*8AM-10PM 7 DAYS A WEEKCALL OR TEXT TO BOOK YOUR APPOINTMENT.Most of the time when I'm not answering my phone calls is because I'm busy massaging.* I do prefer texts, but you can call either! if i don't answer , leave a textmessage please :)Rates for INCALLS:30min. $4060min. $6090min. $100TIP is NOT INCLUDED***CASH ONLY***    ",2017-12-11 06:53:03,,,,2017-12-11 09:20:27.847385,CL1
World-Class Male Licensed Massage Therapist (North Atlanta (itp),https://atlanta.craigslist.org/atl/thp/d/world-class-male-licensed/6420849364.html,Chamblee,"I am a world-class male massage therapist born in Japan and living in the United States for the past 25 years. I am skilled in numerous techniques and therapies, including Shiatsu, Swedish, Neuromuscular, Myoskeletal Alignment, Trigger Point, Thai Stretching and Sports Massage, as well as spa body-scrub treatments (shower available). I am located just inside the perimeter less than a mile from I-285 and Chamblee-Dunwoody.PRICESMassage (Swedish, Relaxation, Light Massage)* 1-hour massage: $70* 90-minute massage: $100Massage + Spa Treatment (Body Scrub, Seaweed Wrap, Mud Wrap, Aroma Therapy Wrap)* 1-hour massage + 30-minute spa treatment: $110* 90-minute massage + 20-minute spa treatment: $140Specialty Massages (Shiatsu, Deep Tissue, Neuromuscular, Sports, Thai Stretching, Maternity/Pregnancy Massage)* 1-hour specialty massage: $75* 90-minute sports massage: $110Foot Massage (Reflexology)* 30-minute foot massage: $40* 1-hour foot massage: $70Quick Service* 40-minute massage + 20-minute spa treatment: $100All massage/treatment appointments include hot-towel service and small bottle of water. Shower available.Hours:Monday - Friday 10 am - 6 pm (last appointment starts at 5)Saturday 10 am - 7 pm (last appointment starts at 6)Sunday closed (special appointments can be made with advance notice)Weekday and Saturday appointments fill early, so whenever possible, please book 24 hours in advance or at least by early morning for a same-day session.Get relaxed and rejuvenate yourself! Call or text:  show contact info",2017-12-11 06:40:56,,,,2017-12-11 09:20:28.550112,CL1
☯☙Sacred Intimacy Coaching and Energy Regulation☙☯,https://atlanta.craigslist.org/atl/thp/d/sacred-intimacy-coaching-and/6420846336.html,Marietta,"CONNECT, HEAL, GROW, and BALANCE USING ENERGYDo you need to reconnect in your relationships?Are you experiencing physical, emotional or mental intimacy issues?Are you disabled or experiencing obstacles and want MORE options?If you answered yes to these questions TW!E - Totally Intimate may have your solution.What is Sacred Intimacy?Sacred intimacy is a joint exploration of healing, celebration and intimacy whose goal is to create a greater wholeness. Sessions are typically uniquely crafted by the Coach/Facilitator and client according to the client's own goals, desires and need. Sacred Intimacy Coaching Sessions - 60| 60 minute individual100 | 90 minute couples session --Hindu and Taoist philosophies and breathwork--What is Energy Regulation?Energy regulation is a treatment that is done to promote healing of the energetic body that exists in all of us. This energetic body exists simultaneously with our physical body, with each having a direct effect on the other. Therefore, energy healing sessions may help us mentally and spiritually, as well as physically. Energy Regulation* Sessions - 60 | 60 minute100 | 90 minute*Fire Cupping *Reflexology *Light Touch *Reiki Energy *Transformative Energy Totally Wow! Entertainment featuring Totally Intimate offers:Intimacy CoachingEnergy Regulation SessionsandSexual Obstacle Treatments and Exercisesincluding: Cuddling Sessions Touch Treatment   Chakra Balancing~ Jamila Aisha - AKA Coach MimiTotally Wow! Entertainmentput the WOW! into your love life    ",2017-12-11 06:32:05,33.938200,-84.540300,Windy HIll at South Cobb,2017-12-11 09:20:29.337340,CL1
Mobile Massage by Professional Female Therapist 90 min massage $100,https://atlanta.craigslist.org/atl/thp/d/mobile-massage-by/6420839622.html,Atl,"Book a Mobile Massage to your location today! Female Therapist provides a relaxing therapeutic service on a massage table with clean linen,heated oil and soothing hands. This is an outcall service only.90 min Massage  $1002 hr Massage.      $1351 hr Massage and scrub $1352 hr Massage and scrub $185$25 travel fee and/ or hotel parking will be added if traveling outside of the perimeter. All services are Therapeutic.Contact no# -  show contact info",2017-12-11 06:11:10,,,,2017-12-11 09:20:30.015231,CL1
24/7 Hotel Outcall Massage ~ Mobile Masseuse ~ Best Bodyrub in Atlanta,https://atlanta.craigslist.org/atl/thp/d/24-7-hotel-outcall-massage/6420632840.html,"Mobile,Massage,Outcall,Your,Hotel","Lorena CMT | Certified Massage Therapy | Hotel Outcall OnlyHello! I am a 29 year old masseuse with over 5 years of experience. Experience my masterful touch now! I deliver out-call massage only to Atlanta hotels. I am available to soothe your aching muscles with natural organic lotion or oil, and the exquisite touch of my hands. I'm independent and trained in light touch, medium and deep tissue. Best full body therapeutic rubdown in Atlanta! Many of my new callers become regular clients. Business travelers relax at the end of your long day! Available late night for your convenience. Flat rate: $150 for 60 minutes and 90 minute massage is also available. No hidden costs. Legitimate hotel guests only; express to you in an hour or less. See you soon!Call me @  show contact info when you're ready to schedule appointment.If I am unable to answer, just leave a VM with callback instructions and I will contact you asap. Please no texts or blocked numbers, or inappropriate questions. Thanks in advance,Lorena    ",2017-12-10 21:57:20,33.752500,-84.388800,,2017-12-11 09:20:30.735915,CL1
Needing a Nice Relaxing Massage,https://atlanta.craigslist.org/atl/thp/d/needing-nice-relaxing-massage/6420603516.html,"google,map","Time to Start your day off right!Contact me, the only massage therapist to help break away all those tight and sore muscles with a unique deep tissue massage and Other relaxing massages.This is for those who want a cure from stressfulness and tense tendons. Available Monday through Saturday as early as 7 am to 9 pm. Find an opening most convenient for the greatest massage you'll receive. Let's restore your Strength and Stamina. This Proven Method Is To Remove Any Lactic Acid That Has Been Building Up In Your Muscles.You will not be disappointed!! Text Me Now for a massage. Appointment Only. Your muscles can't wait any longer, so book your next appointment. Couples Massage Available.Name is MinaTEXT:  show contact infoLocated in Winder, Georgia 2 blocks from the Carl House in Auburn, GeorgiaYou're body will leave very satisfied.I prefer texting, if you wish to have me call you, can you please text me to call you back. Most of the time when I'm not answering my phone calls is because I'm busy massaging. Thank you.PS.If I'm not the female from the picture then your massage is free :)    ",2017-12-10 21:21:34,33.998500,-83.711500,,2017-12-11 09:20:31.419079,CL1
,https://atlanta.craigslist.org/atl/thp/d/asia-massage-sore-pain/6420598849.html,, , ,,,,2017-12-11 09:20:32.155205,CL1
â–‡â–†â–…â–ƒ ðŸ”´ðŸ”´ 24/7 GG SPA: 404-907-4699,https://atlanta.craigslist.org/atl/thp/d/24-7-gg-spa/6420531641.html,"Buckhead,Midtown,Downtown","((( GG Spa )))***BETTER RELAXATION 4 U***  3149 E Shadowlawn Ave NE, Atlanta, GA 30305 Come and enjoy a totally relaxing momentWe offer various relaxation service to suit your individual needs  show contact info Body to Soul: We heal you all over 24/7 Always be with youBeautiful  Global Staff are waiting 4 UFree Table Shower! DIRECTION: CLICK ",2017-12-10 20:01:41,33.841012,-84.374146,3149 E Shadowlawn Ave NE,2017-12-11 09:20:33.011789,CL1
~~Amazing Massage~~,https://atlanta.craigslist.org/atl/thp/d/amazing-massage/6420471015.html,,Relax and rejuvenate! I invite you to join me for an amazing massage. Conveniently and privately located. Escape the mundane...Tara 84 three 60 eight 1 44 eight    ,2017-12-10 18:58:45,,,,2017-12-11 09:20:33.691140,CL1
Schedule Your Appointment Today!,https://atlanta.craigslist.org/atl/thp/d/schedule-your-appointment/6420448236.html,"google,map",Hello Gentlemen! My name is Elizabeth. I am a licensed massage therapist. I travel to areas located in Metro Atlanta. Therapeutic Massage - $150.00 HourlyFor an appointment call  show contact infoPlease leave a messageSee you soon!!!*RELIEVE PAIN *PROMOTE RELAXATION* REDUCE STRESS & TENSION*    ,2017-12-10 18:35:49,33.868700,-84.335100,,2017-12-11 09:20:34.365342,CL1
AMAZING TOUCH,https://atlanta.craigslist.org/atl/thp/d/amazing-touch/6420319083.html,"Vinings,Mabelton,Atlanta","Hello I'm Nicole, 100% Real and Natural...see me at my private suite...I will rub every inch of your....with my strong gifted hands...I will customize your session... just to cater your needs I'm waiting on you...Weekend Special: 20% OFF NEW CUSTOMERS 10% OFF Returning CustomersIncall Specials:60 min... $10030 min... $50************Outcalls 60 min....$12590 min....$150 **** Credit Cards Accepted ****CALL OR TEXT ME NOWshow contact info(NO BACK & FORTH EMAILS OR TEXTS)....You won't be disappointedOpen 12 hours daily*Weekends by appt only*Need More Info??Google Me:ArtfulTouch By Nicole    ",2017-12-10 16:39:17,33.833200,-84.603100,East-West Connector at Atlanta rd,2017-12-11 09:20:35.042693,CL1
"AWESOME ""AMERICAN "" MASSAGE THERAPIST WITH INCALL OR OUTCALL",https://atlanta.craigslist.org/atl/thp/d/awesome-american-massage/6420315782.html,BROOKHAVEN,"Hello my name is Chloe. I'm a Licensed Massage Therapist with a great touch. Several modalities to choose from including, Deep Tissue, Swedish, Aromatherapy, and Sports Massage to name a few.I'm available 7 days a week by appointment. I DO NOT ACCEPT TEXTS. PLEASE CALL!If I miss your call, I'll call you right back. I look forward to meeting you soon.$115.00 Incall $145.00 OutcallDay and Evening appointment available!Have a Wonderful Day and Evening. Chloeshow contact infoCredit Cards Accepted!",2017-12-10 16:36:31,33.868700,-84.335100,PEACHTREE RD NE at ASHFORD DUNWOODY RD,2017-12-11 09:20:35.726640,CL1
Experience 5 Star LUXURY MOBILE MASSAGE ⭐⭐⭐⭐⭐,https://atlanta.craigslist.org/atl/thp/d/experience-5-star-luxury/6420293712.html,Outcall,"Treat your body to an incredible Full Body Massage!ATLANTA GA'S # C H O I C E!It's time for you to get spoiled by the best female LMTs in Atlanta - Downtown, Airport, Buckhead & surrounding areas! We have positive attitude's with impeccable skill.Your choice of Mobile Massage 1 hour full body session, 90 minutes or the 2 hr session is just perfect for those travelers who are jet-lag or just tired and need a good night's rest.HOTEL Mobile Massage done right!NO DRIVING REQUIRED$125.00 ............ 1 HOUR$150.00 ............ 1.5 HOUR$175.00 ............ 2 HOURComplimentary Body Scrub With Each Session.Please visit our website.http://www.luxmobilemassage.org  show contact info ",2017-12-10 16:17:40,,,,2017-12-11 09:20:36.506153,CL1
Delightful Spa Asian Massage,https://atlanta.craigslist.org/nat/thp/d/delightful-spa-asian-massage/6420267882.html,Roswell,"Delightful Spa, Best Asian Massage.Healing Hands  HOT STONE THERAPY, Deep Tissue, Swedish massageDry Sauna Room for your comfort.Walk-in's Welcome CALL NOW:  show contact infoSee you soon    ",2017-12-10 15:56:11,34.061923,-84.405972,1470 Woodstock Rd,2017-12-11 09:20:37.270465,CL1
ðŸŒŸTHE BEST MASSAGE OF YOUR LIFE 4047094727ðŸŒŸ,https://atlanta.craigslist.org/nat/thp/d/the-best-massage-of-your-life/6420249199.html,"Sandy,Springs,Norcross,Atlanta","Peace my reflections my name is KeJuan. I'm a licensed massage therapist but my massages go way past what I learned in school. My massages will not only relieve your tension but heal your mind, body, and spirit. This is not a massage you can get at any spa. My massages are genuine and come from the heart. I use a combination of deep tissue, swedish, compression, and reflexology in every session but I can also customize it to fit your needs. The setting is warm and cozy with candles, aromatherapy, and relaxing natural sounds in the background. This isn't just a massage but more like an experience. Your whole being will be refreshed, enabling you to face any challenge that life may try to throw your way. Call  show contact info to schedule an appointment today. See you soon30 Min Back Massage or Foot Massage -$2030 Min Full Body Session -$251Hr Full Body Session -$5090 Min Full Body Session -$70Hot stones -$20 add onOutcalls are available and credit/debit are accepted...    ",2017-12-10 15:41:00,33.979500,-84.341100,,2017-12-11 09:20:38.137151,CL1
Massage By Bella,https://atlanta.craigslist.org/atl/thp/d/massage-by-bella/6420243841.html,"Where,you,want,me,to,be","I offer a variety of massages to include legs, back, shoulders, swedish and deep-tissue just to name a few  Schedule your appointment today.  show contact info! Men, Women, and Couples Welcome! Outcalls available! BENEFITS OF MASSAGE : Reducing stress, pain and muscle tension.AnxietyDigestive disordersFibromyalgiaHeadachesInsomnia related to stressRelaxing Peaceful Healing and much more. Thanks In Advance!    ",2017-12-10 15:36:40,33.553100,-84.400300,,2017-12-11 09:20:39.088391,CL1
❤❤==$19.99 Massage! Free Hot Stone with Body Massage!==❤,https://atlanta.craigslist.org/nat/thp/d/1999-massage-free-hot-stone/6420208266.html,"Buford,Sugar,Hill,Suwanee,Lawrenceville","STOP PAIN. Relax and be pampered!Early Bird Special - $45 one hour body massage from 10 am to 2 pm. 30-minute Foot massage $19.99!Also try our $1 a minute chair massage! (15-minute minimum)!Table shower - $20 for 20 minutes!Hongs Massage has male and female massage therapists who are professionally trained.We are located near the Mall of Georgia just off I-85, next to Costco. Open 7 days a week, 10 a.m. - 10 p.m.Call us for an appointment, but walk-ins are welcome!1600 Mall of Georgia Blvd., Suite 858Buford, GA 30519show contact infohttp://hongsmassage.webs.com ",2017-12-10 15:08:44,34.062615,-83.994427,1600 Mall of Georgia Blvd,2017-12-11 09:20:39.861982,CL1
,https://atlanta.craigslist.org/atl/thp/d/professional-massage-uu/6420204633.html,, , ,,,,2017-12-11 09:20:40.667902,CL1
Hands of a real Goddess...Highly Skilled and Reliable,https://atlanta.craigslist.org/sat/thp/d/hands-of-real-goddesshighly/6420195979.html,"Virginia,Ave","Professional Reliable Highly Skilled and Trained. A true licensed massage therapist for 11 years with next level skills I'm very In tuned. It's more than a massage it's an experience. A true oasis sure to send you on a mental vacation!Most Popular Service""Total Body Relaxation""30min $6530min Signature $801hr $1001hr Signature $13090min $15090min Signature $1602hrs also available Full Body Wash/Scrub w/massage 30min $801hr $120 90min $140Foot Bath/Scrub w/reflexology 30min $3540min $45 P.s Thai stretching, Hot Stones,Hot towel treatment, Back walking, Couples, Four Hands, Chair Massages, and/or Aroma therapy also availableText 1stCall, if no response within 10mins Available Now TEXT  show contact infoAsk For Yanni Office Airport ParkVirginia Ave College Park 30337Safe Clean and Cozy private location.show contact info",2017-12-10 14:59:15,,,,2017-12-11 09:20:41.645177,CL1
,https://atlanta.craigslist.org/atl/thp/d/signature-asian-services/6420187862.html,, , ,,,,2017-12-11 09:20:42.384201,CL1
Come Check Out Our New Massage Therapy,https://atlanta.craigslist.org/nat/thp/d/come-check-out-our-new/6420158324.html,"Lawrenceville,Duluth,Johnscreek","Service:Deep Tissue ( Chinese traditional)AcupressureThai MassageSwedishSports MassagePrenatal MassageShiatsuFoot MassageHead to Toe ( Special Foot Massage)Combination Massage ( Body & Feet)Table ShowerCuppingBio Electric MassageFree Hot Stone with every foot and body massage.Empress Massage 1 (nearby Sugarloft Mills)1820 North Brown Rd, suite 20Lawrenceville, GA 30043show contact infoEmpress Massage 2 (nearby I-85 exit 104)1960 Day Drive, suite 300Duluth, GA 30096show contact infoCall or Text to Schedule AppointmentPlease visit our website, print the SPECIAL COUPON and Bring it to our store.http://www.empressmassage.net/ ",2017-12-10 14:29:55,33.990475,-84.077583,"1820 North Brown Rd, suite 20",2017-12-11 09:20:43.060898,CL1
