cl_ad_title,cl_url,cl_location,cl_ad,cl_ad_dt,cl_lat,cl_lon,cl_ad_street_addr,date_retrieved,data_source
"===============MASSAGE BY BEAUTIFUL AND TALENTED ASIAN MASSEUSES",https://washingtondc.craigslist.org/nva/thp/d/massage-by-beautiful-and/6319356894.html,"__,IN,TOWN","AROMA THERAPY =============================== GRAND OPENING!  ===============================5 Star Level of MassageSwedish / Shiatsu / Deep Tissue MassageTalented and Delightful New StaffOpen Daily - 10AM TO 9pmSunday: 12PM TO 5PMTEL:  show contact info====================== #1 MASSAGE IN TOWN!","9/24/2017 15:32",NULL,NULL,NULL,2017-09-24,CL1
"--------------------------YOUR UNFORGETTABLE EXPERIENCE OF MASSAGE !------------",https://washingtondc.craigslist.org/nva/thp/d/your-unforgettable-experience/6319356023.html,"________,TYSON,S,VIENNA,McLEAN","_____* G & G Wellness Center * _____ 7 0 3 - 4 6 2 - 9 1 6 1There Is Actually Only One Really Perfect Asian Spa" Your Satisfaction Is Our Ultimate Goal !! "Enjoy Serene Relaxation and Opulent Luxury* Deep Tissue / Swedish / Shiatsu Massage * Luxurious T. Shower * Dry Sauna * Hot Towel Treatment * Open Daily / 10 To 10* Feel Better Today..The Oriental Way *" Your New Destination For Marvelous Asian Massage "8450 Tyco Rd. Suite-C Vienna, VA. 22182","9/24/2017 15:31",38.9335,-77.2368,"8450 Tyco Rd",2017-09-24,CL1
"NEW Asian Staff 60$/h (Please Call 703-577-6199) -- at Falls Church",https://washingtondc.craigslist.org/nva/thp/d/new-asian-staff-60-please/6319355815.html,"Falls,Church","Hello FriendsThis is our unique fusion massage therapy, relieve pain and stress, relax mind and body restore energy flow.Enjoy the care of a professional in a safe clean environment.Soothing sounds, warm towels, clean linens, I use light unscented warm oil or lotion of the highest quality.Deep Tissue, Swedish, Acupressure, Cupping, Reflexology, Hot-Stone MassagesFor Ladies and gentleman, Walk ins are welcome .... Appointments are appreciated.Call us 9AM-10PM, Mon. to Sun....  show contact info; YIZ SPA 6051F Arlington Blvd, falls church, VA 22044Out call: after 8pm, Mon. to Sun,  120$/60min plus 20$ travel","9/24/2017 15:31",38.8589,-77.1548,"6051 F Arlington Blvd",2017-09-24,CL1
"???? YOU HAVE NEVER SEEN ASIAN MASSAGE LIKE THIS BEFORE___________",https://washingtondc.craigslist.org/nva/thp/d/you-have-never-seen-asian/6319355829.html,"[, ]__,VIENNA,TYSONS","[[=]]__WELCOME TO BEST ASIAN MASSAGE IN TOWN!__[[=]]" Comfortable & Serene Environment! "VIP\'s Facility Is Renowned For Its ServiceThe Spa Is Absolutely Spotless, Tranquil & Very ComfortableYou Will Feel Right At Home From The Very First Moment You Walk InDeep Tissue / Swedish / Shiatsu Massage Friendly Asian StaffOpen 7 Days / 10AM TO 10PMRefreshing Table Shower 7 0 3 - 9 9 2 - 9 7 0 0  2240 Gallows Rd. Suite B Vienna, VA 22182","9/24/2017 15:31",38.9042,-77.2227,"2240 Gallows Rd",2017-09-24,CL1
"*?* ___ FANTASTIC ___ MASSAGE ____ WITH ____ ULTIMATE ___ RESULT! __",https://washingtondc.craigslist.org/nva/thp/d/fantastic-massage-with/6319355215.html,____HERNDON,"[__UNDER NEW MANAGEMENT__]Deep Tissue / Swedish / Shiatsu MassageRelaxing Music, Quiet, ComfortableAroma Therapy & Clean Roomsshow contact infoOPEN 7 DAYS : 10AM - 10PMCNC THERAPY CENTER727 Elden St. Suite - 200C, Herndon, VA 20170Main Street Bank 2nd Floor and Parking in the Back of the Building.Enter into the Fire Station side on the Spring Street","9/24/2017 15:30",38.9694,-77.3856,"727 Elden St",2017-09-24,CL1
"***Best new asian massage $45/hr** Foot Massage $39/Hr (703-490-2381)",https://washingtondc.craigslist.org/nva/thp/d/best-new-asian-massage-45-hr/6319345361.html,Woodbridge,"We have the best Asian Massage therapists. We offer a quiet and calm room for your relaxation. Special: Swedish Massage- $45/hr*New* Foot Massage $39/Hr *New* Combo Massage $49/Hr - 30min Foot Massage and 30min Body MassageFoot Massage w/ Detox(70min) - $45We have many types of massage(Deep Tissue-$60/hr, Swedish-$45/hr, Hot Stone-$80/hr, etc.), Waxing, and foot reflexology.Come in for the 6th time and you will get a 50% off on any massage(Ask for more details)Make a reservation now! Call  show contact infoAddress: Minnieville Shopping Center Across from Wawa Gas Station and behind Jiffy Lube2878 Garber Way Woodbridge, VA 22192 Tel:  show contact infoCash onlyHours: Mon-Fri 10:00am-9:30pm Sat-Sun 10:30am-9:00pm","9/24/2017 15:23",38.6607,-77.2987,"2878 Garber Way",2017-09-24,CL1
"?~*????Great Therapists!! Best & Professional Massage!!",https://washingtondc.craigslist.org/nva/thp/d/great-therapists-best/6319340170.html,NULL,"~*Relaxing your soul and body~We have the best experienced Female Asian Massage therapists. We offer a clean, quiet and private room for your relaxation. You deserve to enjoy your relax time here!!We offer many types of massage for you to relief stress. Services Provided:AcupressureSwedishShiatsuDeep tissueFoot ReflexologyRates: 80 for an hour. Call or Text for making an appointment:  show contact info AliceOpening hours: 10am - 10pm everydayAddress: 5205-B Lyngate Court, Burke, VAYou will be satisfied by our professional service.","9/24/2017 15:19",38.8097,-77.2574,"5205 Lyngate Court, Suite B",2017-09-24,CL1
"RAINBOW MASSAGE CENTER-BEST ORIENT MASSAGE THERAPY IN FALLS CHURCH",https://washingtondc.craigslist.org/nva/thp/d/rainbow-massage-center-best/6319315822.html,NULL,"--Rainbow Massage Center --For Men&Women  Relax Your Body And Mind With A Rejuvenating, Refreshing,And Restorative Massage "We Truly Are The Best & The Best Asian Massage----------------------------------------------------  MASSAGE THERAPY:1.Chinese massa","9/24/2017 15:01",38.8880,-77.1801,"800 west broad st",2017-09-24,CL1
"SUNSHINE MASSAGE CENTER-BEST ORIENT MASSAGE THERAPY IN ARLINGTON",https://washingtondc.craigslist.org/nva/thp/d/sunshine-massage-center-best/6319312001.html,"LOCATED,IN,CRYSTAL,CITY","--Sunshine Massage Center --For Men&Women  Relax Your Body And Mind With A Rejuvenating, Refreshing,And Restorative Massage "We Truly Are The Best & The Best Asian Massage----------------------------------------------------  MASSAGE THERAPY:  1. swedish 1- Hour Massage Therapy: $60.00; 1/2 Hour: $35.00 2. Deep Tissue 1- Hour: $60.00; 1/2 Hour: $35.00  3. Foot Massage 1-Hour: $60.00; 1/2 Hour: $35.00 4. Couple Massage 1-Hour: $120.00 (for two people) 5. Hot Stone: 1-Hour: $90.00Web sitewww.VAsunshinemassagecenter.comOpen 7 Days a Week : 10am-10pm Call Today :  show contact info Located: 401 12Th St South Arlington ,Va 22202 Close to  I-395 & D C","9/24/2017 14:58",38.8629,-77.0516,"401 12th st s at Eads St",2017-09-24,CL1
"@@THE BEST MASSAGE IN MERRIFIELD#703-942-5280@@",https://washingtondc.craigslist.org/nva/thp/d/the-best-massage-in-merrifield/6319300564.html,"FAIRFAX,TYSONS,STERLING","BEST DEEP TISSUE MASSAGE IN massage pro We offer eastern style massage, include but not limited: deep tissue massage   Swedish massage, Acupressure                cupping, Hot Stone                   Aromatherapy$60/hour       Daily 10AM to10PM Website:http://www.massageprova.comFree VIP membership and reward systemMajor credit cards acceptableALL LICENSED ASIAN MASSEUSE with years experienceMerrifield location:8630  Lee hwy. suite  KFairfax.  VA. 22031show contact infoSterling location:47028 Harry Byrd Hwy Sterling.VA. 20164show contact info","9/24/2017 14:50",38.8734,-77.2443,"8630 K leehwy",2017-09-24,CL1
"?? HEALING BODYWORKS ?? ASIAN MASSAGE | GRAND REOPENED NOW!",https://washingtondc.craigslist.org/nva/thp/d/healing-bodyworks-asian/6319293566.html,"ARLINGTON,VA","[" Healing Bodyworks  Premium Asian Massage!   All New Staff!  Under Totally New Management  Comfortable Private Rooms   Skilled & Friendly Asian Staff  Outstanding Courteous Service  Immaculately Clean   Refreshing Shower  Swedish, Shiatsu, Deep Tissue, & Relaxation Massage Available  Convenient Parking Day & Night  Open 7 Days 10am -- 11pm  All Credit Cards Accepted  Call Today!   show contact info 5133 Lee Highway, Arlington, VA., 22207*Right On Lee Hwy., In The Strip Mall Across The Street From Wendy's...(Private Parking Is Available In Back Of Building) "]","9/24/2017 14:44",38.8966,-77.1317,"5133 Lee Highway",2017-09-24,CL1
"?? ???? ?? GRAND OPENING NEW",https://washingtondc.craigslist.org/nva/thp/d/grand-opening-new/6319279345.html,WOODBRIDGE,"Best Friendly Excellent  Asian Staffs      Deep Tissue / Swedish / shiatsu  Comfortable Relaxing and Clean Private Rooms Let Our Staffs make Your day unforgettable  Relax Your Body and Mind  Your Satisfaction is Our # 1 Goal  Healing Therapy     show contact info     1970 Opitz Blvd. Woodbridge, Va. 22191  Open Daily  Mon.-- Sat. 10:00 AM -- 9:30 PM  Sun. 11:00 AM -- 8:00 PM  (We are at Potomac Professional Village, next to Acura and V. W. , behind Hyundal Dealers, 2 Minutes from Rt. 95 HWY. AND P.W.County PKWY)","9/24/2017 14:34",38.6350,-77.2750,"1970 opitz blvd.",2017-09-24,CL1
"???? Asian 30s women wants to show you Orient secrets??",https://washingtondc.craigslist.org/nva/thp/d/asian-30s-women-wants-to-show/6319267415.html,"vienna,dc,va","I studied the ancient secrets in China and have now brought those secrets to America to share with you.  Let me show you ancient ways that can bring you intense bliss and relaxation.  Let me serve you.  Ninety minutes of luxurious oil rubbed into your aching body is only $100.  You will leave feeling like a new man, ready to do anything.  I have a pretty face and the perfect sharp of body. Please help me make my transition to America seamless by coming by and letting me take you to heaven.Please give me a call or text me at   show contact info and let me help you soon. Deep tissue/Swedish/shiatsu/tuina/Thai massage Hot stone/lomilomi.Rates:30 minutes = $4560 minutes =$7090 minutes =$100Do NOT have walk ins. APPOINTMENTS ONLY.Contact:   show contact info  CASH PREFERRED","9/24/2017 14:25",38.8458,-77.3242,NULL,2017-09-24,CL1
"=?=****** WHEN YOU NEED REAL MASSAGE ~ WE HAVE WHAT IT TAKES *********",https://washingtondc.craigslist.org/nva/thp/d/when-you-need-real-massage-we/6319259900.html,"_CHANTILLY,Near,Dulles,Airport_","== UNDER NEW MANAGEMENT ====_FAR EAST THERAPY_==Unforgettable Soothing And Relaxing Asian THERAPEUTIC MassageYou\'ll Experience The True Asian Massages like Never Before!" Nothing Compares to Our Best Asian Massage " Deep Tissue Swedish  Shiatsu Massage Hot Pad  Hot Towel Treatment Dry Sauna & Clean Shower OPEN DAILY 10AM~10PMTEL: 7 0 3 - 8 1 7 - 0 7 7 0Location: 4229 Lafayette Center Dr. Ste#1775 Chantilly, VA 20151_Near Dulles Airport_","9/24/2017 14:19",38.9067,-77.4757,"4229 Lafayette Center Dr",2017-09-24,CL1
"??????5 STAR ASIAN MASSAGE / SHIRLINGTON THERAPY ??",https://washingtondc.craigslist.org/nva/thp/d/5-star-asian-massage/6319258880.html,ARLINTON,"[" Welcome To SHIRLINGTON THERAPY  WORLD-CLASS SERVICE If You Appreciate Exceptionally Good REAL Asian Massage and Some Much Needed Personal Pampering To Recharge and Destress Then You're Looking At The Right Ad... Our Therapy Is The Place To Be For Your Much Needed Relaxation !! Swedish - Shiatsu - Deep Tissue - Massage  Table Shower Available - CC Aceppted  Mon - Sat / 10AM To 12AMSunday: 10AM - 10PMshow contact info2249 S Shirlington Rd #C, Arlington, VA 22206 "]","9/24/2017 14:19",38.8496,-77.0840,"2249 S Shirlington Rd",2017-09-24,CL1
